customer_id,customer_name
74,"Arjun, 40, Male"
54,"Priya, 33, Female"
71,"Liam, 42, Male"
56,"Emma, 53, Female"
79,"Ayaan, 32, Male"
16,"Ananya, 32, Female"
29,"Noah, 53, Male"
47,"Olivia, 44, Female"
61,"Rohan, 29, Male"
27,"Kavya, 41, Female"
73,"Ethan, 29, Male"
58,"Sophia, 29, Female"
89,"Aarav, 37, Male"
22,"Ishita, 18, Female"
50,"Lucas, 18, Male"
98,"Ava, 28, Female"
13,"Vihaan, 22, Male"
83,"Ria, 38, Female"
67,"Mason, 24, Male"
76,"Mia, 18, Female"
12,"Kiran, 52, Male"
10,"Simran, 32, Female"
43,"Alexander, 35, Male"
92,"Isabella, 18, Female"
64,"Dhruv, 28, Male"
52,"Aditi, 36, Female"
68,"Elijah, 21, Male"
28,"Charlotte, 39, Female"
62,"Aryan, 27, Male"
38,"Meera, 31, Female"
32,"James, 27, Male"
69,"Amelia, 57, Female"
25,"Aditya, 34, Male"
11,"Nisha, 22, Female"
80,"Benjamin, 44, Male"
21,"Harper, 20, Female"
14,"Sahil, 37, Male"
46,"Pooja, 18, Female"
59,"William, 19, Male"
95,"Evelyn, 37, Female"
30,"Krish, 43, Male"
15,"Anika, 37, Female"
77,"Michael, 33, Male"
34,"Abigail, 31, Female"
75,"Raj, 18, Male"
57,"Tanya, 26, Female"
65,"Daniel, 29, Male"
86,"Ella, 47, Female"
87,"Kabir, 39, Male"
17,"Sneha, 18, Female"
93,"Henry, 38, Male"
84,"Grace, 30, Female"
99,"Dev, 26, Male"
35,"Sanya, 42, Female"
44,"Jackson, 47, Male"
33,"Lily, 46, Female"
48,"Ravi, 24, Male"
41,"Maya, 31, Female"
78,"Sebastian, 38, Male"
36,"Chloe, 46, Female"
40,"Nikhil, 29, Male"
49,"Radhika, 32, Female"
51,"Jack, 21, Male"
42,"Zoey, 20, Female"
91,"Karthik, 44, Male"
88,"Aisha, 51, Female"
26,"Matthew, 34, Male"
24,"Aria, 47, Female"
55,"Vikas, 39, Male"
100,"Leela, 27, Female"
90,"Samuel, 39, Male"
85,"Nora, 53, Female"
81,"Jay, 34, Male"
82,"Rhea, 53, Female"
18,"Carter, 18, Male"
60,"Mila, 44, Female"
96,"Manish, 36, Male"
39,"Diya, 31, Female"
31,"Logan, 36, Male"
63,"Layla, 18, Female"
72,"Amit, 32, Male"
23,"Sonia, 39, Female"
66,"Owen, 52, Male"
20,"Hannah, 28, Female"
94,"Surya, 25, Male"
70,"Anjali, 28, Female"
37,"Luke, 45, Male"
97,"Ellie, 38, Female"
19,"Rajesh, 28, Male"
53,"Isha, 41, Female"